lat,long,site,Province,plate_n,plate_low,plate_partial,plate_complete,Morph,other,habitat,citation_num,citation,,,,notes,
47.003,-65.111,Baie du vin,NB,52,0,0.09,0.91,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.97,-65.326,Black R. (NB),NB,112,0,0,1,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
47.739,-65.11,Caraquet,NB,198,0,0,1,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.174,-64.421,Aboujagane,NB,115,0,0,1,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.508,-65.121,Richibucto,NB,97,0,0,1,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.334,-64.99,Buctouche 1,NB,121,0,0,1,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.372,-64.872,Buctouche 2,NB,103,0,0,1,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
47.623,-64.878,Six Roads,NB,87,0,0.02,0.98,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.111,-65.027,Blakney,NB,83,0,0,1,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
47.923,-66.0613,Louison,NB,172,0,0,1,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
45.591,-66.828,Peltoma S.,NB,82,0,0.74,0.26,P,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,uncertain location,
45.695,-65.464,Mill,NB,98,0,0,1,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,uncertain location,
47.453,-64.973,Leach,NB,117,0,0,1,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,uncertain location,"""Leech"""
45.341,-65.833,Haynes,NB,116,0,0,1,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
