lat,long,site,plate_n,plate_low,plate_partial,plate_complete,Morph,other,habitat,citation_num,citation,,,,notes,alt_name,,,
46.318,-62.835,Pesquid,177,0,0.15,0.85,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,"""Pisquid""",,,
46.358,-62.445,Fortune,96,0,0.16,0.84,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,,,,
46.844,-64.083,Huntley,86,0,0.02,0.98,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,,,,
46.278,-62.399,Little Pond,144,0,0.01,0.99,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,,,,
46.286,-62.967,Glenfinnan,123,0,0.1,0.9,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,,,,
46.466,-63.841,Clark,116,0,0.72,0.28,P,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,,,,
46.23,-62.537,Woodville Mills,102,0,0.08,0.92,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,,,,
46.08,-62.878,Belfast,84,0,0.04,0.96,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,,,,
46.193,-62.902,Cherry Valley,246,0,0,1,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,,,,
44.95,-73.262,Lake Champlain,132,0,0,1,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,,,,
44.162,-77.214,Bay of Quinte,86,0,0,1,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,,,,
43.929,-76.584,Yorkshire Island,138,0,0,1,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,,,,
58.779,-66.047,Bob's (pool),40,0.35,0.325,0.325,L,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,uncertain location,,,,
56.247,-76.23,"Richmond Gulf, unnamed large island",148,0,0.986,0.014,P,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042. [CMN specimens],,,,uncertain location,,,,
56.217,-76.333,Richmond Gulf,35,0,0.886,0.114,P,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042. [CMN specimens],,,,,,,,
56.196,-76.018,Richmond Gulf,74,0,0.878,0.122,P,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042. [CMN specimens],,,,,,,,
51.308,-80.563,Moose R. tributaries,44,0.023,0.977,0,P,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042. [CMN specimens],,,,two lakes pooled together for plate morphs,,,,
47.739,-68.83,Rond,82,,0.9,0.1,RP+C,C,lake,3,Edge & Coad (1983). Can. Field-Nat. 97:334-336,,,,,,,,
47.781,-68.791,Croche,120,,0.9,0.1,RP+C,C,lake,3,Edge & Coad (1983). Can. Field-Nat. 97:334-336,,,,,,,,
59.4,-95.3,Caribou R.,,,,,unk,C,river,4,McKillop & McKillop (1997). Can. Field-Nat. 111:662-663,,,,,,,,
59.867,-100.133,Nueltin L.,1,,,,unk,C,lake,4,McKillop & McKillop (1997). Can. Field-Nat. 111:662-663,,,,,,,,
60.383,-95.75,Thlewiaza R.,1,,,,unk,C,river,4,McKillop & McKillop (1997). Can. Field-Nat. 111:662-663,,,,,,,,
49.463,-54.614,Boyd Cove P.,8,,,,unk,C,lake,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,uncertain location,,,,
49.447,-53.951,Doating Cove S.,18,,,,unk,C,stream,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,uncertain location,"""Doting""",,,
49.0718,-54.546,Joniton's Brook,8,,,,unk,C,stream,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,uncertain location,"""Jonathan's""",,,
48.857,-55.523,Great Rattling Brook,2,,,,unk,C,river,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,,,,,
,,Rocky River,23,,,,unk,C,river,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,unknown location,,,,
47.229,-54.012,Point Verde P.,40,,,,unk,C,lake,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,,,,,
47.234,-53.611,North Harbour R.,6,,,,unk,C,stream,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,,,,,
46.121,-61.189,Lake Ainsley,126,,,,unk,C,lake,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,,,,,
43.99,-78.002,Shelter Valley S.,41,,,,unk,C,stream,5,Garside & Hamor (1973). Can. J. Zool. 51:547-551.,,,,,,,,
45.633,-61.96,Antigonish Landing,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.628,-61.958,Rights River,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.622,-61.963,Lower South River,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.676,-61.861,Captains Pond,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.654,-61.825,Monks Head,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.611,-61.813,Pomquet,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.603,-61.81,Pomquet Stream,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.887,-61.495,Judique,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
46.056,-61.428,Little Mabou R.,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
46.084,-61.468,Mabou River Estuary,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
46.403,-61.081,Margaree River 1,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
46.899,-60.469,Dingwall,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
46.888,-60.465,Middle Aspy R.,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
46.648,-60.398,Ingonish 2,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
46.347,-60.521,Stony Beach,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.72,-60.256,Fourchu Harbour,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.615,-60.623,Grand River Estuary,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.583,-61.384,Pirate Harbour,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.536,-61.314,Middle Melford,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.444,-61.297,St. Francis Harbour,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.413,-61.506,Milford Haven R.,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.353,-61.469,Salmon River Estuary,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.346,-61.375,Halfway Cove,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.317,-60.972,Glasgow Head Inlet,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.258,-61.214,Port Felix Inlet,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.068,-61.853,Wine Harbour,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
45.017,-62.026,Spanish Ship Bay,,,,,unk,W,,6,Blouw & Hagen (1990). Biol. J. Lin. Soc. 39:195-217.,,,,,,,,
